nome,pais,grupo,clube,paisclube,posicao,idade,jogos,gols
Jan Bednarek,Polônia,H,Southampton,Inglaterra,DF,22,1,0
Jacek Góralski,Polônia,H,Ludogorets Razgrad,Bulgaria,MF,25,3,0
Arkadiusz Milik,Polônia,H,Napoli,Italia,FW,24,38,12
Karol Linetty,Polônia,H,Sampdoria,Italia,MF,23,19,1
Robert Lewandowski (captain),Polônia,H,Bayern Munich,Alemanha,FW,29,93,52
Grzegorz Krychowiak,Polônia,H,West Bromwich Albion,Inglaterra,MF,28,49,2
Kamil Grosicki,Polônia,H,Hull City,Inglaterra,MF,30,56,12
Bartosz Białkowski,Polônia,H,Ipswich Town,Inglaterra,GK,30,1,0
Maciej Rybus,Polônia,H,Lokomotiv Moscow,Russia,MF,28,49,2
Łukasz Teodorczyk,Polônia,H,Anderlecht,Belgica,FW,27,15,4
Kamil Glik,Polônia,H,Monaco,França,DF,30,57,4
Jakub Błaszczykowski,Polônia,H,VfL Wolfsburg,Alemanha,MF,32,97,19
Sławomir Peszko,Polônia,H,Lechia Gdańsk,Polonia,MF,33,43,2
Bartosz Bereszyński,Polônia,H,Sampdoria,Italia,DF,25,6,0
Piotr Zieliński,Polônia,H,Napoli,Italia,MF,24,31,4
Łukasz Piszczek,Polônia,H,Borussia Dortmund,Alemanha,DF,33,61,3
Rafał Kurzawa,Polônia,H,Górnik Zabrze,Polonia,MF,25,3,0
Łukasz Fabiański,Polônia,H,Swansea City,País de Gales,GK,33,43,0
Dawid Kownacki,Polônia,H,Sampdoria,Itália,FW,21,1,0
Abdoulaye Diallo,Senegal,H,Rennes,França,GK,26,16,0
Saliou Ciss,Senegal,H,Valenciennes,França,DF,28,18,0
Kalidou Koulibaly,Senegal,H,Napoli,Nápoles,DF,26,24,0
Kara Mbodji,Senegal,H,Anderlecht,Belgica,DF,28,51,5
Idrissa Gueye,Senegal,H,Everton,Inglaterra,MF,28,59,1
Salif Sané,Senegal,H,Hannover 96,Alemanha,MF,27,20,0
Moussa Sow,Senegal,H,Bursaspor,Turquia,FW,32,50,18
Cheikhou Kouyaté (captain),Senegal,H,West Ham United,Inglaterra,MF,28,47,2
Mame Biram Diouf,Senegal,H,Stoke City,Inglaterra,FW,1987,47,10
Sadio Mané,Senegal,H,Liverpool,Inglaterra,FW,26,51,14
Cheikh N'Doye,Senegal,H,Birmingham City,Inglaterra,MF,32,24,3
Youssouf Sabaly,Senegal,H,Bordeaux,França,DF,25,3,0
Alfred N'Diaye,Senegal,H,Wolverhampton Wanderers,Inglaterra,MF,28,19,0
Moussa Konaté,Senegal,H,Amiens,França,FW,25,27,9
Diafra Sakho,Senegal,H,Rennes,França,FW,28,10,3
Khadim N'Diaye,Senegal,H,Horoya,Guiana,GK,33,25,0
Badou Ndiaye,Senegal,H,Stoke City,Inglaterra,MF,27,18,1
Ismaïla Sarr,Senegal,H,Rennes,França,FW,20,14,2
M'Baye Niang,Senegal,H,Torino,Italia,FW,23,5,0
Keita Baldé,Senegal,H,Monaco,França,FW,23,17,3
Lamine Gassama,Senegal,H,Alanyaspor,Turquia,DF,28,35,0
Moussa Wagué,Senegal,H,Eupen,Belgica,DF,19,9,0
Alfred Gomis,Senegal,H,SPAL,Italia,GK,24,1,0
David Ospina,Colômbia,H,Arsenal,,GK,29,86,0
Cristián Zapata,Colômbia,H,Milan,,DF,31,55,2
Óscar Murillo,Colômbia,H,Pachuca,,DF,30,13,0
Santiago Arias,Colômbia,H,PSV Eindhoven,,DF,26,41,0
Wílmar Barrios,Colômbia,H,Boca Juniors,,MF,24,10,0
Carlos Sánchez,Colômbia,H,Espanyol,,MF,32,85,0
Carlos Bacca,Colômbia,H,Villarreal,,FW,31,45,14
Abel Aguilar,Colômbia,H,Deportivo Cali,,MF,33,70,7
Radamel Falcao (captain),Colômbia,H,Monaco,,FW,32,73,29
James Rodríguez,Colômbia,H,Bayern Munich,,MF,26,63,21
Juan Cuadrado,Colômbia,H,Juventus,,MF,30,70,7
Camilo Vargas,Colômbia,H,Deportivo Cali,,GK,29,5,0
Yerry Mina,Colômbia,H,Barcelona,,DF,23,12,3
Luis Muriel,Colômbia,H,Sevilla,,FW,27,18,2
Mateus Uribe,Colômbia,H,América,,MF,27,8,0
Jefferson Lerma,Colômbia,H,Levante,,MF,23,5,0
Johan Mojica,Colômbia,H,Girona,,DF,25,4,1
Frank Fabra,Colômbia,H,Boca Juniors,,DF,27,19,1
Miguel Borja,Colômbia,H,Palmeiras,,FW,25,7,2
Juan Fernando Quintero,Colômbia,H,River Plate,,MF,25,15,2
José Izquierdo,Colômbia,H,Brighton & Hove Albion,,FW,25,5,1
José Fernando Cuadrado,Colômbia,H,Once Caldas,,GK,33,1,0
Dávinson Sánchez,Colômbia,H,Tottenham Hotspur,,DF,22,9,0
Eiji Kawashima,Japão,H,Metz,França,GK,35,83,0
Naomichi Ueda,Japão,H,Kashima Antlers,Japao,DF,23,3,0
Gen Shoji,Japão,H,Kashima Antlers,Japao,DF,25,10,1
Keisuke Honda,Japão,H,Pachuca,Mexico,MF,32,94,36
Yuto Nagatomo,Japão,H,Galatasaray,Turquia,DF,31,104,3
Wataru Endo,Japão,H,Urawa Red Diamonds,Japao,DF,25,11,0
Gaku Shibasaki,Japão,H,Getafe,Espanha,MF,26,16,3
Genki Haraguchi,Japão,H,Fortuna Düsseldorf,Alemanha,MF,27,31,6
Shinji Okazaki,Japão,H,Leicester City,Inglaterra,FW,32,112,50
Shinji Kagawa,Japão,H,Borussia Dortmund,Alemanha,MF,29,90,29
Takashi Usami,Japão,H,Fortuna Düsseldorf,Alemanha,MF,26,22,3
Masaaki Higashiguchi,Japão,H,Gamba Osaka,Japao,GK,32,4,0
Yoshinori Mutō,Japão,H,Mainz 05,Alemanha,FW,25,22,2
Takashi Inui,Japão,H,Eibar,Espanha,MF,30,25,2
Yuya Osako,Japão,H,1. FC Köln,Alemanha,FW,28,27,7
Hotaru Yamaguchi,Japão,H,Cerezo Osaka,Japao,MF,27,41,2
Makoto Hasebe (captain),Japão,H,Eintracht Frankfurt,Alemanha,MF,34,109,2
Ryota Oshima,Japão,H,Kawasaki Frontale,Japão,MF,25,4,0
Hiroki Sakai,Japão,H,Marseille,FRança,DF,28,41,0
Tomoaki Makino,Japão,H,Urawa Red Diamonds,Japão,DF,31,31,4
Gōtoku Sakai,Japão,H,Hamburger SV,Alemanha,DF,27,39,0
Maya Yoshida,Japão,H,Southampton,Inglaterra,DF,29,81,10
Kosuke Nakamura,Japão,H,Kashiwa Reysol,Japao,GK,23,3,0
